"ch99_code","rate","authority","country_type","countries","general_raw","other_raw","description"
"9903.80.47",,"section_232","all","","Free","","Wire (other than of stainless steel), provided for in subheading 7217.10.10, 7217.10.20, 7217.10.30, 7217.10.40, 7217.10.50, 7217.10.60, 7217.10.70, 7217.10.80, 7217.10.90, 7217.20.15, 7217.20.30, 721"
"9903.80.48",,"section_232","all","","Free","","Bars, hot-rolled, not of stainless steel, provided for in subheading 7213.20.00, 7213.99.00 (except for statistical reporting numbers 7213.99.0030 and 7213.99.0090), 7214.10.00, 7214.30.00, 7214.91.00"
"9903.80.49",,"section_232","all","","Free","","Bars, cold-finished, not of stainless steel, provided for in subheading 7215.10.00, 7215.50.00, 7215.90.30, 7215.90.50, 7228.20.50, 7228.50.50 or 7228.60.80"
"9903.80.50",,"section_232","all","","Free","","Angles, shapes and sections of a type known as â€œlight-shaped barsâ€ and other products, provided for in subheading 7216.10.00, 7216.21.00, 7216.22.00 or 7228.70.30 (except for statistical reporting"
"9903.80.51",,"section_232","all","","Free","","Reinforcing bars, provided for in subheading 7213.10.00, 7214.20.00 or 7228.30.80 (except for statistical reporting numbers 7228.30.8005, 7228.30.8015, 7228.30.8041, 7228.30.8045 and 7228.30.8070)"
"9903.80.52",,"section_232","all","","Free","","Sheet piling, provided for in subheading 7301.10.00"
"9903.80.53",,"section_232","all","","Free","","Nonenumerated railroad goods, provided for in subheading 7302.40.00, 7302.90.10 and 7302.90.90"
"9903.80.54",,"section_232","all","","Free","","Rails other than those known as â€œstandard rails,â€ provided for in subheading 7302.10.10 (except for statistical reporting numbers 7302.10.1010, 7302.10.1035, 7302.10.1065 and 7302.10.1075)"
"9903.80.55",,"section_232","all","","Free","","Rails known as â€œstandard rails,â€ provided for in subheading 7302.10.10 (except for statistical reporting numbers 7302.10.1015, 7302.10.1025, 7302.10.1045 and 7302.10.1055) or 7302.10.50"
"9903.80.56",,"section_232","all","","Free","","Products of tool steel and other products, provided for in subheading 7224.10.00 (except for statistical reporting numbers 7224.10.0005 and 7224.10.0075), 7224.90.00 (except for statistical reporting "
"9903.80.57",,"section_232","all","","Free","","Blooms, billets and slabs, semi-finished, provided for in subheading 7207.11.00, 7207.12.00, 7207.19.00, 7207.20.00 or 7224.90.00 (except for statistical reporting numbers 7224.90.0015, 7224.90.0025, "
"9903.80.58",,"section_232","all","","Free","","Ingots, provided for in subheading 7206.10.00, 7206.90.00 or 7224.10.00 (except for statistical reporting number 7224.10.0045)"
"9903.80.60",,"section_232","all","","The duty provided in the applicable subheading","","Goods granted relief from the application of quantitative limitation otherwise imposed in relation to subheadings 9903.80.05 through 9903.80.58, for any steel article determined by the Secretary not t"
"9903.80.61","0.25","section_232","all","","The duty provided in the applicable subheading + 25%","","Goods subject to a qualifying contract for which relief has been provided from the application of quantitative limitation otherwise imposed in relation to subheadings 9903.80.05 through 9903.80.58, pr"
"9903.80.62",,"section_232","all","","The duty provided in the applicable subheading","","Goods subject to a qualifying contract or other written agreement for which relief has been provided from the application of quantitative limitation otherwise imposed in relation to subheading 9903.80"
"9903.80.65",,"section_232","all","","Free","","Hot-rolled sheet (provided for in subheading 7208.10.60, 7208.26.00, 7208.27.00, 7208.38.00, 7208.39.00, 7208.40.60, 7208.53.00, 7208.54.00, 7208.90.00, 7225.30.70 or 7225.40.70)"
"9903.80.66",,"section_232","all","","Free","","Hot-rolled strip (provided for in subheading 7211.19.15, 7211.19.20, 7211.19.30, 7211.19.45, 7211.19.60, 7211.19.75, 7226.91.70 or 7226.91.80)"
"9903.80.67",,"section_232","all","","Free","","Hot-rolled plate, in coils (provided for in subheading 7208.10.15, 7208.10.30, 7208.25.30, 7208.25.60, 7208.36.00, 7208.37.00, 7211.14.00 (except for statistical reporting number 7211.14.0030 or 7211."
"9903.80.68",,"section_232","all","","Free","","Cold-rolled sheet, provided for in subheading 7209.15.00, 7209.16.00, 7209.17.00, 7209.18.15, 7209.18.60, 7209.25.00, 7209.26.00, 7209.27.00, 7209.28.00, 7209.90.00, 7210.70.30, 7225.50.70, 7225.50.80"
"9903.80.69",,"section_232","all","","Free","","Cold-rolled strip (provided for in subheading 7211.23.15, 7211.23.20, 7211.23.30, 7211.23.45, 7211.23.60, 7211.29.20, 7211.29.45, 7211.29.60, 7211.90.00, 7212.40.10, 7212.40.50, 7226.92.50, 7226.92.70"
"9903.80.70",,"section_232","all","","Free","","Cold-rolled black plate (provided for in subheading 7209.18.25)"
"9903.80.71",,"section_232","all","","Free","","Plate in cut lengths (provided for in subheading 7208.40.30, 7208.51.00, 7208.52.00, 7210.90.10, 7211.13.00, 7211.14.00 (except for statistical reporting number 7211.14.0090), 7225.40.30, 7225.50.60 o"
"9903.80.72",,"section_232","all","","Free","","Flat-rolled products, hot-dipped (provided for in subheading 7210.41.00, 7210.49.00, 7210.70.60 (except for statistical reporting number 7210.70.6030 or 7210.70.6090), 7212.30.10, 7212.30.30, 7212.30."
"9903.80.73",,"section_232","all","","Free","","Flat-rolled products, coated (provided for in subheading 7210.20.00, 7210.61.00, 7210.69.00, 7210.70.60 (except for statistical reporting number 7210.70.6030 or 7210.70.6060), 7210.90.60, 7210.90.90, "
"9903.80.74",,"section_232","all","","Free","","Tin-free steel (provided for in subheading7210.50.00)"
"9903.80.75",,"section_232","all","","Free","","Tin plate (provided for in subheading 7210.11.00, 7210.12.00 or 7212.10.00)"
"9903.80.76",,"section_232","all","","Free","","Silicon electrical steel sheets and strip (provided for in subheading 7225.11.00, 7225.19.00, 7226.11.10, 7226.11.90, 7226.19.10 or 7226.19.90"
"9903.80.77",,"section_232","all","","Free","","Sheets and strip electrolytically coated or plated with zinc (provided for in subheading 7210.30.00, 7210.70.60 (except for statistical reporting number 7210.70.6060 or 7210.70.6090), 7212.20.00, 7225"
"9903.80.78",,"section_232","all","","Free","","Oil country pipe and tube goods (provided for in subheading 7304.23.30, 7304.23.60, 7304.29.10, 7304.29.20, 7304.29.31, 7304.29.41, 7304.29.50, 7304.29.61, 7305.20.20, 7305.20.40, 7305.20.60, 7305.20."
"9903.80.79",,"section_232","all","","Free","","Line pipe exceeding 406.4 mm in outside diameter (provided for in subheading 7304.19.10 (except for statistical reporting number 7304.19.1020, 7304.19.1030, 7304.19.1045 or 7304.19.1060), 7304.19.50 ("
"9903.80.80",,"section_232","all","","Free","","Line pipe not exceeding 406.4 mm in outside diameter (provided for in subheading 7304.19.10 (except for statistical reporting number 7304.19.1080), 7304.19.50 (except for statistical reporting number "
"9903.80.81",,"section_232","all","","Free","","Other line pipe (provided for in subheading 7306.19.10 (except for statistical reporting number 7306.19.1010) or 7306.19.51 (except for statistical reporting number 7306.19.5110))"
"9903.80.82",,"section_232","all","","Free","","Standard pipe (provided for in subheading 7304.39.00 (except for statistical reporting number 7304.39.0002, 7304.39.0004, 7304.39.0006, 7304.39.0008, 7304.39.0028, 7304.39.0032, 7304.39.0040, 7304.39."
"9903.80.83",,"section_232","all","","Free","","Structural pipe and tube (provided for in subheading 7304.90.10, 7304.90.30, 7305.31.20, 7305.31.40, 7305.31.60 (except for statistical reporting number 7305.31.6010), 7306.30.30, 7306.50.30, 7306.61."
"9903.80.84",,"section_232","all","","Free","","Mechanical tubing (provided for in subheading 7304.31.30, 7304.31.60 (except for statistical reporting number 7304.31.6010), 7304.39.00 (except for statistical reporting number 7304.39.0002, 7304.39.0"
"9903.80.85",,"section_232","all","","Free","","Pressure tubing (provided for in subheading 7304.31.60 (except for statistical reporting number 7304.31.6050), 7304.39.00 (except for statistical reporting number 7304.39.0016, 7304.39.0020, 7304.39.0"
"9903.80.86",,"section_232","all","","Free","","Tubes or pipes for piling (provided for in subheading 7305.39.10 or 7305.39.50)"
"9903.80.87",,"section_232","all","","Free","","Pipes and tubes, not specially provided for (provided for in subheading 7304.51.50 (except for statistical reporting number 7304.51.5015, 7304.51.5045 or 7304.51.5060), 7305.90.10, 7305.90.50, 7306.90"
"9903.80.88",,"section_232","all","","Free","","Hot-rolled sheet of stainless steel (provided for in subheading 7219.13.00, 7219.14.00, 7219.23.00 or 7219.24.00)"
"9903.80.89",,"section_232","all","","Free","","Hot-rolled strip of stainless steel (provided for in subheading 7220.12.10 or 7220.12.50)"
"9903.80.90",,"section_232","all","","Free","","Hot-rolled plate of stainless steel, in coils (provided for in subheading 7219.11.00 or 7219.12.00)"
"9903.80.91",,"section_232","all","","Free","","Cold-rolled sheet of stainless steel (provided for in subheading 7219.32.00, 7219.33.00, 7219.34.00, 7219.35.00 or 7219.90.00)"
"9903.80.92",,"section_232","all","","Free","","Cold-rolled strip of stainless steel (provided for in subheading 7220.20.10, 7220.20.60, 7220.20.70, 7220.20.80, 7220.20.90 or 7220.90.00)"
"9903.80.93",,"section_232","all","","Free","","Cold-rolled plate of stainless steel, in coils (provided for in subheading 7219.31.00 (except for statistical reporting number 7219.31.0050))"
"9903.80.94",,"section_232","all","","Free","","Wire of stainless steel, drawn (provided for in subheading 7223.00.10, 7223.00.50 or 7223.00.90)"
"9903.80.95",,"section_232","all","","Free","","Pipes and tubes of stainless steel (provided for in subheading 7304.41.30, 7304.41.60, 7304.49.00, 7305.31.60 (except for statistical reporting number 7305.31.6090), 7306.40.10, 7306.40.50, 7306.61.70"
"9903.80.96",,"section_232","all","","Free","","Line pipe of stainless steel (provided for in subheading 7304.11.00 or 7306.11.00)"
"9903.80.97",,"section_232","all","","Free","","Bars and rods of stainless steel, cold finished (provided for in subheading 7222.20.00 or 7222.30.00)"
"9903.80.98",,"section_232","all","","Free","","Bars and rods of stainless steel, hot-rolled (provided for in heading 7221.00.00 (except for statistical reporting number 7221.00.0017, 7221.00.0018 or 7221.00.0030) or subheading 7222.11.00, 7222.19."
"9903.80.99",,"section_232","all","","Free","","Blooms, billets and slabs of stainless steel (provided for in subheading 7218.91.00 and 7218.99.00)."
"9903.81.01",,"section_232","all","","Free","","Oil country pipe and tube goods of stainless steel (provided for in subheading 7304.22.00, 7304.24.30, 7304.24.40, 7304.24.60, 7306.21.30, 7306.21.40 or 7306.21.80)"
"9903.81.02",,"section_232","all","","Free","","Ingot and other primary forms of stainless steel (provided for in subheading 7218.10.00)"
"9903.81.03",,"section_232","all","","Free","","Flat-rolled products of stainless steel (provided for in subheading 7219.21.00, 7219.22.00, 7219.31.00 (except for statistical reporting number 7219.31.0010) or 7220.11.00)"
"9903.81.04",,"section_232","all","","Free","","Bars and rods, hot-rolled, in irregularly wound coils, of stainless steel (provided for in heading 7221.00.00 (except for statistical reporting number 7221.00.0005, 7221.00.0045 or 7221.00.0075))"
"9903.81.05",,"section_232","all","","Free","","Angles, shapes and sections of stainless steel (provided for in subheading 7222.40.30 (except for statistical reporting number 7222.40.3065 or 7222.40.3085) or 7222.40.60)"
"9903.81.06",,"section_232","all","","Free","","Angles, shapes and sections (provided for in subheading 7216.31.00, 7216.32.00, 7216.33.00, 7216.40.00, 7216.50.00, 7216.99.00, 7228.70.30 (except for statistical reporting number 7228.70.3060 or 7228"
"9903.81.07",,"section_232","all","","Free","","Bars and rods, hot-rolled, in irregularly wound coils (provided for in subheading 7213.91.30, 9213.91.45, 7213.91.60, 7213.99.00 (except for statistical reporting number 7213.99.0060), 7227.20.00 (exc"
"9903.81.08",,"section_232","all","","Free","","Wire (other than of stainless steel) (provided for in subheading 7217.10.10, 7217.10.20, 7217.10.30, 7217.10.40, 7217.10.50, 7217.10.60, 7217.10.70, 7217.10.80, 7217.10.90, 7217.20.15, 7217.20.30, 721"
"9903.81.09",,"section_232","all","","Free","","Bars, hot-rolled, not of stainless steel (provided for in subheading 7213.20.00, 7213.99.00 (except for statistical reporting number 7213.99.0030 or 7213.99.0090), 7214.10.00, 7214.30.00, 7214.91.00, "
"9903.81.10",,"section_232","all","","Free","","Bars, cold-finished, not of stainless steel (provided for in subheading 7215.10.00, 7215.50.00, 7215.90.30, 7215.90.50, 7228.20.50, 7228.50.50 or 7228.60.80)"
"9903.81.11",,"section_232","all","","Free","","Angles, shapes and sections of a type known as â€œlight-shaped barsâ€ (provided for in subheading 7216.10.00, 7216.21.00, 7216.22.00 or 7228.70.30 (except for statistical reporting number 7228.70.301"
"9903.81.12",,"section_232","all","","Free","","Reinforcing bars (provided for in subheading 7213.10.00, 7214.20.00 or 7228.30.80 (except for statistical reporting number 7228.30.8005, 7228.30.8015, 7228.30.8041, 7228.30.8045 or 7228.30.8070))"
"9903.81.13",,"section_232","all","","Free","","Sheet piling (provided for in subheading 7301.10.00)"
"9903.81.14",,"section_232","all","","Free","","Nonenumerated railroad goods (provided for in subheading 7302.40.00, 7302.90.10 or 7302.90.90)"
"9903.81.15",,"section_232","all","","Free","","Rails other than those known as â€œstandard railsâ€ (provided for in subheading 7302.10.10 (except for statistical reporting number 7302.10.1010, 7302.10.1035, 7302.10.1065 or 7302.10.1075)"
"9903.81.16",,"section_232","all","","Free","","Rails known as â€œstandard railsâ€ (provided for in subheading 7302.10.10 (except for statistical reporting number 7302.10.1015, 7302.10.1025, 7302.10.1045 or 7302.10.1055) or 7302.10.50)"
"9903.81.17",,"section_232","all","","Free","","Products of tool steel (provided for in subheading 7224.10.00 (except for statistical reporting number 7224.10.0005 or 7224.10.0075), 7224.90.00 (except for statistical reporting number 7224.90.0005, "
"9903.81.18",,"section_232","all","","Free","","Blooms, billets and slabs, semi-finished (provided for in subheading 7207.11.00, 7207.12.00, 7207.19.00, 7207.20.00 or 7224.90.00 (except for statistical reporting number 7224.90.0015, 7224.90.0025 or"
"9903.81.19",,"section_232","all","","Free","","Ingots (provided for in subheading 7206.10.00, 7206.90.00 or 7224.10.00 (except for statistical reporting number 7224.10.0045)"
"9903.81.25",,"section_232","all","","Free","","Hot-rolled sheet (provided for in subheading 7208.10.60, 7208.26.00, 7208.27.00, 7208.38.00, 7208.39.00, 7208.40.60, 7208.53.00, 7208.54.00, 7208.90.00, 7225.30.70 or 7225.40.70)"
"9903.81.26",,"section_232","all","","Free","","Hot-rolled strip (provided for in subheading 7211.19.15, 7211.19.20, 7211.19.30, 7211.19.45, 7211.19.60, 7211.19.75, 7226.91.70 or 7226.91.80)"
"9903.81.27",,"section_232","all","","Free","","Hot-rolled plate, in coils (provided for in subheading 7208.10.15, 7208.10.30, 7208.25.30, 7208.25.60, 7208.36.00, 7208.37.00, 7211.14.00 (except for statistical reporting number 7211.14.0030 or 7211."
"9903.81.28",,"section_232","all","","Free","","Cold-rolled sheet, provided for in subheading 7209.15.00, 7209.16.00, 7209.17.00, 7209.18.15, 7209.18.60, 7209.25.00, 7209.26.00, 7209.27.00, 7209.28.00, 7209.90.00, 7210.70.30, 7225.50.70, 7225.50.80"
"9903.81.29",,"section_232","all","","Free","","Cold-rolled strip (provided for in subheading 7211.23.15, 7211.23.20, 7211.23.30, 7211.23.45, 7211.23.60, 7211.29.20, 7211.29.45, 7211.29.60, 7211.90.00, 7212.40.10, 7212.40.50, 7226.92.50, 7226.92.70"
"9903.81.30",,"section_232","all","","Free","","Cold-rolled black plate (provided for in subheading 7209.18.25)"
"9903.81.31",,"section_232","all","","Free","","Plate in cut lengths (provided for in subheading 7208.40.30, 7208.51.00, 7208.52.00, 7210.90.10, 7211.13.00, 7211.14.00 (except for statistical reporting number 7211.14.0090), 7225.40.30, 7225.50.60 o"
